Quality	Count
21	1.0
22	0.0
23	1.0
24	2.0
25	6.0
26	12.0
27	10.0
28	43.0
29	88.0
30	273.0
31	605.0
32	1160.0
33	1998.0
34	2837.0
35	4005.0
36	9883.0
37	11998.0
