Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	37.24372759856631	38.0	37.0	38.0	35.0	38.0
2	36.987819695036755	38.0	37.0	38.0	35.0	38.0
3	36.98763744608468	38.0	37.0	38.0	35.0	38.0
4	36.960026729846305	38.0	37.0	38.0	35.0	38.0
5	36.982473725776075	38.0	37.0	38.0	35.0	38.0
6	36.992831541218635	38.0	37.0	38.0	35.0	38.0
7	36.9487576696434	38.0	37.0	38.0	35.0	38.0
8	36.92442743454225	38.0	37.0	38.0	35.0	38.0
9	36.864923151691876	38.0	37.0	38.0	35.0	38.0
10	36.847731000546744	38.0	37.0	38.0	35.0	38.0
11	36.84435939493348	38.0	37.0	38.0	35.0	38.0
12	36.783062997387766	38.0	37.0	38.0	35.0	38.0
13	36.77522629244882	38.0	37.0	38.0	35.0	38.0
14	36.72164510054067	38.0	37.0	38.0	35.0	38.0
15	36.714628515886034	38.0	37.0	38.0	35.0	38.0
16	36.61615333211834	38.0	36.0	38.0	35.0	38.0
17	36.59018285644858	38.0	36.0	38.0	35.0	38.0
18	36.587388372516855	38.0	36.0	38.0	35.0	38.0
19	36.54969321426402	37.0	35.0	38.0	34.0	38.0
20	36.45732337039062	37.0	35.0	38.0	34.0	38.0
21	36.43925034931049	37.0	35.0	38.0	34.0	38.0
22	36.50555859303809	37.0	35.0	38.0	34.0	38.0
23	36.465068950853535	37.0	35.0	38.0	34.0	38.0
24	36.513304173501005	37.0	36.0	38.0	34.0	38.0
25	36.48945993560537	37.0	35.0	38.0	34.0	38.0
26	36.43940222343721	37.0	35.0	38.0	34.0	38.0
27	36.43882510175567	37.0	36.0	38.0	33.0	38.0
28	36.3783791993196	37.0	35.0	38.0	33.0	38.0
29	36.40890589879108	37.0	36.0	38.0	33.0	38.0
30	36.40693153514367	37.0	36.0	38.0	33.0	38.0
31	36.34918899216329	37.0	35.0	38.0	33.0	38.0
32	36.33293846060385	37.0	35.0	38.0	33.0	38.0
33	36.11159710831663	37.0	35.0	38.0	32.0	38.0
34	36.232215539760645	37.0	35.0	38.0	32.0	38.0
35	36.12344329020108	37.0	35.0	38.0	32.0	38.0
36	36.025788226717694	37.0	35.0	38.0	32.0	38.0
37	36.11214385517283	37.0	35.0	38.0	32.0	38.0
38	35.96676994107284	37.0	35.0	38.0	32.0	38.0
39	36.0205637567584	37.0	35.0	38.0	32.0	38.0
40	35.95680699835976	37.0	35.0	38.0	32.0	38.0
41	35.9782819998785	37.0	35.0	38.0	32.0	38.0
42	35.84675900613571	37.0	35.0	38.0	32.0	38.0
43	35.687686045805236	37.0	35.0	37.0	32.0	38.0
44	35.698590608104006	37.0	35.0	37.0	32.0	38.0
45	35.73719701111719	37.0	35.0	38.0	32.0	38.0
46	35.60965311949456	37.0	35.0	37.0	32.0	38.0
47	35.46731668792904	37.0	35.0	37.0	32.0	38.0
48	35.5139116700079	37.0	35.0	37.0	32.0	38.0
49	35.37801470141547	37.0	35.0	37.0	31.0	38.0
50	35.16119919810461	37.0	34.0	37.0	29.0	38.0
51	35.17216451005407	37.0	35.0	37.0	29.0	38.0
