Quality	Count
8	1.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	2.0
17	4.0
18	1.0
19	1.0
20	0.0
21	1.0
22	2.0
23	1.0
24	5.0
25	7.0
26	5.0
27	10.0
28	12.0
29	9.0
30	16.0
31	18.0
32	25.0
33	34.0
34	57.0
35	83.0
36	178.0
37	640.0
38	1388.0
